Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP/Capita,Energy Usage/Capita,CO2 Emissions/Capita,Life Expectancy Combined,Tourism Status,lables_1
Bhutan,0.017692307692307695,49.784615384615385,154144.07692307694,25.23076923076923,74811.15384615384,591815614228.0,0.07430769230769231,1820.4615384615386,281.84615384615387,0.027,0.36153846153846153,0.1169076923076923,75.84615384615384,70.76923076923077,0.5846153846153845,0.2593846153846154,0.6336153846153846,0.10692307692307693,32039911.384615384,0.5552307692307692,8368092307.692307,8982169230.76923,18176.18693529395,0.003186046217936357,0.004181462020892717,73.3076923076923,Outbound,0
Bolivia,0.024999999999999998,81.22000000000001,49707.46666666667,122.34166666666665,30144.50833333333,101662764694.91667,0.057125,248.025,537.4833333333333,0.03720833333333332,0.13333333333333333,0.2313333333333333,69.5,64.25,0.40833333333333327,0.3482408353369408,0.6028410087218609,0.04875148927453179,29881865.916666668,0.6535000000000001,782675000.0,985141666.6666666,6642.802187280603,0.02775485239919151,0.002302954414499712,66.875,Outbound,1
Bosnia and Herzegovina,0.013043846153846154,42.45538461538461,101898.26923076923,39.61538461538461,41670.346153846156,198992928780.76923,0.06668461538461537,1832.423076923077,328.5307692307692,0.00961846153846153,0.3976923076923077,0.1164076923076923,79.3153846153846,72.6076923076923,0.7923076923076924,0.22687192585114874,0.6663183197687303,0.10673283130319786,15242687.0,0.7403076923076923,7591569230.769231,3953976923.076923,29553.801236101335,0.06119062812292026,0.00942940088646008,75.96153846153847,Inbound,0
Botswana,0.036230769230769226,59.7,38605.153846153844,38.84615384615385,19688.53846153846,36364942071.53846,0.051153846153846154,114.0,342.0,0.059153846153846154,0.04615384615384616,0.19159999999999996,57.61538461538461,54.76923076923077,0.33076923076923076,0.4115384615384615,0.5533846153846154,0.035153846153846154,15786615.23076923,0.4022307692307692,1211276923.0769231,810000000.0,2060.939095227316,0.0012372514725891618,0.002064232729854519,56.19230769230769,Inbound,1
Brazil,0.022166666666666668,44.833333333333336,52577.06666666667,50.166666666666664,26099.933333333334,71873684822.95833,0.0598,657.0666666666667,297.75,0.026824166666666666,0.19999999999999998,0.13924166666666665,70.66666666666667,66.16666666666667,0.575,0.3163704176684704,0.6206705043609304,0.06304241130393255,5513228.0,0.5383333333333333,1732266666.6666667,1496433333.3333333,9338.910337160329,0.004330372711934751,0.006235187336259333,68.41666666666667,Inbound,1
Brunei Darussalam,0.015923076923076925,43.361538461538466,118762.53846153847,40.23076923076923,48613.846153846156,351721021876.3077,0.06152307692307691,1044.6461538461538,341.9230769230769,0.018853076923076924,0.3153846153846154,0.11875384615384614,76.92307692307692,69.61538461538461,0.6461538461538462,0.2383076923076923,0.6626923076923077,0.09876923076923078,28278443.384615384,0.5868461538461538,8148230769.230769,10121384615.384615,13568.402159495625,0.0026870976295449325,0.006802402470632917,73.26923076923077,Outbound,0
Bulgaria,0.012846153846153847,36.63076923076923,98017.07692307692,19.846153846153847,49893.846153846156,382779895888.9231,0.08415384615384616,1853.1538461538462,234.07692307692307,0.007153846153846154,0.5,0.08213076923076924,79.6923076923077,74.46153846153847,0.9384615384615385,0.19146153846153846,0.6706923076923077,0.13792307692307693,13971507.0,0.7378461538461539,9247153846.153847,9396307692.307692,20906.94448386977,0.003841677642095207,0.007099696120993323,77.07692307692308,Outbound,0
Burkina Faso,0.03584615384615385,45.05384615384616,13287.630769230771,52.15384615384615,17799.89230769231,26673019352.692307,0.055238461538461535,93.42307692307692,371.38461538461536,0.06753846153846153,0.07692307692307693,0.5449923076923077,56.15384615384615,53.61538461538461,0.3153846153846154,0.40746153846153843,0.5564615384615385,0.03584615384615385,22272714.46153846,0.32707692307692304,867538461.5384616,1099308461.5384614,1488.2006445645295,0.0009992674045544206,0.0010016709848406588,54.88461538461539,Outbound,1
Burundi,0.037538461538461534,90.89230769230768,4635.461538461538,29.076923076923077,15359.66153846154,12902483479.76923,0.07261538461538462,57.61538461538461,208.30769230769232,0.07492307692307693,0.05384615384615385,0.15214615384615382,56.92307692307692,54.92307692307692,0.21538461538461537,0.4269230769230769,0.5406923076923077,0.03230769230769231,16854707.615384616,0.3495384615384616,289876923.0769231,200130769.23076922,814.5991193263648,0.0016115495393162827,0.0003541635540977823,55.92307692307692,Inbound,1
Cambodia,0.016384615384615383,45.26923076923077,148942.53846153847,46.04615384615385,62124.82307692307,273047428116.47693,0.06577692307692308,1320.646153846154,242.8153846153846,0.025933076923076923,0.32769230769230767,0.11223846153846152,76.23076923076923,71.07692307692308,0.6461538461538462,0.2592650009247419,0.6490035424870128,0.09180837966516851,95078189.84615384,0.5859230769230769,7091623076.923077,5885484615.384615,17531.938643926806,0.02797103689572966,0.004848472203587804,73.65384615384616,Inbound,0
